landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.1,6.5,0,15,21,43,1.86,86,11,17,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.4,6.1,0,22,21,19,0.66,88,12,28,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.7,6,0,25,21,18,1.1,63,8,20,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,8.4,6.9,0,26,22,16,0.66,15,13,7,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,7.3,6.9,0,30,24,25,1.59,42,24,20,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.4,7,0,39,36,18,0.84,14,19,25,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.5,6.2,0,17,14,18,0.81,63,8,13,10,25,65
Vineyards,Sl3,Mittel lehmiger Sand,high_carbonate,14.2,7,0,98,31,44,1.12,22,542,128,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,5.4,6.2,0,23,19,23,0.82,66,16,12,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,3.9,6,0,25,14,17,0.49,66,15,14,6.5,17.5,76
Orchards,Us,Sandiger Schluff,high_carbonate,3.2,7.1,0,42,21,20,0.45,14,65,26,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,2.1,7.3,0,14,9,20,0.41,15,25,8,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,2.7,7.4,0,17,6,29,0.4,13,23,8,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.2,7.3,0,18,13,31,0.5,23,19,11,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.2,7.1,0,16,23,16,0.35,25,9,12,4,32.5,63.5
