landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,6.2,7.4,0,18,19,38,0.62,9,69,16,21,35,44
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.4,7.1,0,46,20,61,0.78,25,276,57,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,6.1,7.1,0,24,17,25,0.82,19,10,14,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.5,7.3,0,19,24,44,1.12,36,89,12,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.9,7.3,0,9,15,21,0.36,18,6,5,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,6.2,7,0,40,35,31,1.2,8,31,22,14.4,75.3,10.3
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,8.5,7.1,0,37,30,39,1.44,14,15,11,14.4,75.3,10.3
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.7,7.3,0,12,18,25,0.44,11,9,8,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,3.8,7.2,0,29,38,58,1.43,12,21,42,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,1.8,7.4,0,12,22,23,0.67,27,10,4,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.5,7.2,0,20,25,36,1.4,26,47,9,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,8.5,7.2,0,35,43,41,1.03,16,24,14,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,5.7,7.3,0,23,16,29,0.73,16,12,19,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.6,7.2,0,16,23,24,0.76,17,15,9,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.7,7.2,0,29,20,17,0.87,21,66,20,6.5,17.5,76
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.5,7.3,0,13,10,15,0.39,23,20,14,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.1,7.3,0,24,22,40,0.94,20,22,9,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,15,7.2,0,52,47,59,0.93,9,10,22,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,5.7,7.2,0,65,48,29,1.48,42,14,24,14.4,75.3,10.3
