landuse,texture,ph,som,cu,zn
Orchards,Us,5,3.9,13,14
Orchards,Us,5.9,2.6,10,16
Orchards,Sl3,6.5,9.4,17,31
Orchards,Sl3,6.3,10.3,23,26
Orchards,Ut3,7.2,4.8,20,10
Orchards,Us,7.2,4.7,36,13
Orchards,Sl3,7,15,18,19
Orchards,Ut3,7.1,4,32,25
Orchards,Sl3,6,8.4,15,30
Orchards,Sl3,6.2,8.1,10,24
Orchards,Us,7,6.3,14,13
Orchards,Us,7.2,5.2,75,19
Orchards,Us,7.3,3.2,14,17
Vineyards,Su3,6.9,2.6,65,19
Orchards,Sl2,6.9,3.1,18,102
Orchards,Sl3,6,7.8,77,15
Orchards,Sl3,5.9,6.3,89,195
Orchards,Sl3,7,2.6,47,109
Orchards,Sl3,5.8,6.9,68,7
Orchards,Us,6.7,2.7,19,20
Orchards,Sl3,6.3,5.4,59,7
Orchards,Us,6.9,4.5,38,22
Orchards,Us,5.2,6,93,35
Orchards,Sl3,5.8,5.9,94,18
Orchards,Sl3,6.8,5.5,42,12
Orchards,Us,7,4,42,19
Orchards,Us,7,4.4,33,24
Orchards,Sl2,6.1,8.6,104,27
Vineyards,Sl3,7.1,3.2,50,8
Orchards,Us,6.4,4.6,14,16
Orchards,Sl3,6.5,5.1,11,17
Orchards,Sl3,6.1,3.4,12,28
Orchards,Sl3,6,5.7,8,20
Orchards,Sl3,6.9,8.4,13,7
Orchards,Sl3,6.9,7.3,24,20
Orchards,Sl2,7,3.4,19,25
Orchards,Sl3,6.2,4.5,8,13
Vineyards,Sl3,7,14.2,542,128
Orchards,Us,6.2,5.4,16,12
Orchards,Sl2,6,3.9,15,14
Orchards,Us,7.1,3.2,65,26
Orchards,Sl3,7.3,2.1,25,8
Orchards,Sl3,7.4,2.7,23,8
Orchards,Ut3,7.3,4.2,19,11
Orchards,Su3,7.1,2.2,9,12
Orchards,Ut3,7.2,4.4,50,23
Vineyards,Ls3,7,5.8,294,16
Orchards,Us,6.4,5.6,8,5
Orchards,Us,6.6,9.4,36,28
Orchards,Sl3,6.3,5.2,29,16
Orchards,Sl3,6,6.8,10,6
Orchards,Us,7.3,2.7,23,12
Orchards,Sl2,7.4,2.2,22,7
Orchards,Sl2,7.3,2.8,10,6
Orchards,Sl3,6.4,4.1,16,10
Orchards,Sl3,6.4,5.4,9,5
Orchards,Sl3,6.4,7.3,15,43
Orchards,Sl3,7,6.8,11,15
Orchards,Us,5.9,5.5,30,9
Orchards,Sl3,6.4,7.1,79,39
Orchards,Sl3,4.6,7.4,12,5
Orchards,Sl3,4.5,7.3,8,6
Orchards,Sl3,6.2,8.4,19,19
Orchards,Sl2,7.1,3.4,48,17
Orchards,Sl2,5.9,5.1,20,25
Orchards,Sl3,6,5.3,27,29
Orchards,Sl3,6.7,4.7,15,15
Orchards,Us,7.2,3.8,34,14
Orchards,Su3,7,4.4,124,37
Orchards,Sl3,6.2,7.1,24,15
Orchards,Sl3,6.2,4.9,27,19
Orchards,Sl3,6.2,5.1,11,11
Orchards,Sl3,4.9,6.7,16,7
Orchards,Sl3,7.3,5,29,14
Orchards,Sl3,7.1,5.2,57,28
Orchards,Su3,6.1,4.5,10,9
Orchards,Us,5.8,3.9,23,12
Orchards,Sl2,6.9,5.4,13,24
Orchards,Sl2,6.9,4.9,9,13
Orchards,Sl2,6.7,5.3,12,18
Orchards,Su3,7,6.3,8,16
Orchards,Us,6.8,5.6,16,19
Orchards,Us,7,5.5,20,30
Orchards,Sl2,6.3,3.6,22,19
Orchards,Us,7,3.9,27,12
Orchards,Us,7.1,2.2,56,12
Orchards,Ut3,7.3,3.7,12,6
Orchards,Sl3,5.8,6.2,19,30
Vineyards,Sl3,6.9,5.7,100,26
Orchards,Su3,7.1,1.1,15,13
Orchards,Sl2,7.2,3.1,23,10
Orchards,Sl3,6.9,3.6,12,8
Orchards,Sl3,6.4,3.7,24,53
Orchards,Sl3,6.3,4.9,15,17
Orchards,Sl3,6.5,5.6,23,19
Orchards,Su3,7.3,1.2,40,3
Orchards,Sl3,7.1,4.9,21,21
Orchards,Sl3,5.8,2.4,10,5
Orchards,Sl3,5.4,4.9,14,14
Orchards,Sl3,6.5,4.2,18,22
Orchards,Sl3,6.4,3.3,17,10
Orchards,Sl3,6.5,7,14,23
Orchards,Us,6.2,4.3,15,11
Orchards,Sl3,6.8,6.1,12,35
Orchards,Sl3,5.6,7.5,109,29
Orchards,Us,6.9,2.5,44,24
Orchards,Us,7.3,1.5,20,5
Orchards,Ls3,7.3,3.8,24,8
Orchards,Sl3,7,6.3,47,23
Orchards,Sl3,7.1,15.9,19,24
Orchards,Sl3,6.6,9.7,237,28
Orchards,Sl3,5.7,3.8,19,22
Orchards,Sl3,5.6,9.1,23,78
Orchards,Sl3,6,6.6,16,41
Orchards,Su3,7.1,2.6,11,9
Orchards,Sl3,5.7,4.3,15,16
Orchards,Us,7,3.5,43,17
Orchards,Sl3,6.4,12.7,21,53
Orchards,Sl3,6.6,6.5,11,25
Orchards,Sl3,5.5,5,13,15
Orchards,Sl3,5,10.2,300,48
Orchards,Sl3,5.4,6.1,11,24
Orchards,Us,6.5,4.3,10,7
Orchards,Sl2,7.4,1.5,18,4
Vineyards,Sl3,6.3,1.5,243,12
Orchards,Us,7.3,4.7,21,40
Orchards,Su3,7.1,1.4,32,21
Orchards,Su3,7.4,2.4,16,9
Orchards,Su3,7.4,0.6,7,4
Orchards,Sl3,6.7,4.8,13,30
Orchards,Sl3,5.1,7.4,19,56
Orchards,Sl3,6.2,6.6,17,43
Orchards,Sl2,5.6,2.8,16,14
Orchards,Sl2,6.3,4.1,205,62
Orchards,Sl3,5.5,3.2,15,15
Orchards,Sl2,6.7,4.6,15,36
Orchards,Su3,6.2,2,24,20
Orchards,Sl3,5.5,7.8,23,52
Orchards,Sl3,6.2,8.2,24,47
Orchards,Sl3,5.9,3.3,16,10
Orchards,Sl3,5.7,4.2,13,16
Orchards,Sl3,6.9,4.7,15,15
Orchards,Us,7,3.9,18,26
Orchards,Sl3,6.3,2.7,10,7
Vineyards,Us,7,3.7,225,25
Orchards,Sl3,4.9,7.6,23,17
Orchards,Sl3,5.2,6.7,20,20
Orchards,Sl3,6.8,5.2,10,27
Orchards,Sl3,7,4.8,16,15
Orchards,Sl3,6.1,6.6,14,18
Orchards,Sl3,7.1,5.8,10,17
Orchards,Lu,6.9,5.7,145,37
Orchards,Su3,6.6,4.9,17,25
Orchards,Sl3,6,5.6,13,24
Orchards,Sl2,5.9,2.1,7,4
Orchards,Sl3,6.1,6,10,11
Orchards,Sl3,6.7,5,19,19
Orchards,Sl3,6.9,4.7,32,39
Orchards,Ut3,7.3,5.3,36,11
Orchards,Sl3,6.7,4.9,13,11
Orchards,Us,7,4.3,73,23
Orchards,Sl2,7.3,2.9,27,13
Orchards,Sl2,7.3,2.6,25,20
Vineyards,Sl3,6.2,2.9,305,33
Orchards,Su3,7.4,0.9,10,5
Orchards,Us,7,3.6,38,17
Orchards,Sl3,7,4.1,12,14
Orchards,Us,7,3.8,34,13
Orchards,Us,6.9,4,51,27
Orchards,Ls3,7.1,3.8,66,21
Orchards,Ut3,6.8,8,152,19
Orchards,Us,7.1,2,46,15
Vineyards,Sl3,6.8,4,452,37
Orchards,Ut3,7.1,3.8,18,10
Orchards,Ut3,7.5,7.5,32,18
Orchards,Us,7.3,2.1,11,11
Vineyards,Us,7.2,2,123,11
Orchards,Ut3,7.3,3.2,27,10
Orchards,Ut3,7.2,14.7,8,4
Orchards,Ls3,7.1,4.5,103,53
Orchards,Sl3,7.2,7.6,11,4
Orchards,Sl3,6.9,3,56,26
Orchards,Us,7.3,8.3,46,39
Orchards,Sl3,7.2,3.6,34,13
Orchards,Sl2,7.2,3.5,43,12
Orchards,Ls3,7.4,6.2,69,16
Orchards,Sl3,7.1,5.4,276,57
Orchards,Su3,7.1,6.1,10,14
Orchards,Ut3,7.3,4.5,89,12
Orchards,Su3,7.3,1.9,6,5
Orchards,Ut3,7,6.2,31,22
Orchards,Ut3,7.1,8.5,15,11
Orchards,Sl2,7.3,2.7,9,8
Orchards,Sl3,7.2,3.8,21,42
Orchards,Us,7.4,1.8,10,4
Orchards,Ut3,7.2,4.5,47,9
Orchards,Us,7.2,8.5,24,14
Orchards,Su3,7.3,5.7,12,19
Orchards,Sl2,7.2,3.6,15,9
Orchards,Sl2,7.2,3.7,66,20
Orchards,Su3,7.3,1.5,20,14
Orchards,Sl3,7.3,5.1,22,9
Orchards,Sl3,7.2,15,10,22
Orchards,Ut3,7.2,5.7,14,24
Orchards,Sl3,6.6,7.6,38,28
Orchards,Sl3,6.8,6.2,24,14
Orchards,Sl3,6.9,5.4,11,16
Orchards,Sl3,7.1,5.2,15,18
Orchards,Sl3,5.9,4.7,9,10
Orchards,Su3,7.1,1.3,11,7
Orchards,Us,6.2,2.6,11,13
Orchards,Sl3,6.4,5.1,16,27
Orchards,Us,6.1,3.6,19,9
Orchards,Sl3,6,6.9,29,34
Orchards,Sl3,6,6.7,13,37
Orchards,Sl3,6.9,4.1,12,12
Orchards,Sl3,6.7,7.8,12,22
Orchards,Sl3,6.2,7.3,9,10
Orchards,Su3,6.4,4.3,19,16
Orchards,Su3,7.2,3.4,19,12
Orchards,Slu,7.1,7.3,63,27
Orchards,Ut3,7.2,7.3,23,10
Orchards,Su3,6.6,4.5,15,37
Orchards,Su3,6.4,5,14,17
Orchards,Sl3,6,4.3,6,6
Orchards,Sl3,6.3,7.4,8,33
Orchards,Us,6.3,4.7,16,25
Orchards,Su3,6.6,8.5,18,27
Orchards,Sl3,5.8,3.3,8,7
Orchards,Su3,7.2,1.5,11,14
Orchards,Us,7.3,5,12,5
Orchards,Sl3,5.4,6.1,42,25
Orchards,Sl3,5.4,6.4,9,9
Orchards,Sl3,5.8,7.6,52,72
Orchards,Sl3,6.3,8.1,9,27
Orchards,Sl3,6.3,7.5,12,19
Orchards,Sl3,5.6,6,14,9
Orchards,Sl3,6.8,6.8,15,9
Orchards,Sl3,6.3,8,14,13
Orchards,Us,6.6,2.5,11,7
Orchards,Sl3,5.1,5.1,20,28
Orchards,Sl3,5.8,5,19,17
Orchards,Ut3,7.2,6.7,28,14
Orchards,Us,7.1,4.2,64,20
Orchards,Us,7,3.6,102,21
Orchards,Us,7.2,5.6,18,16
Orchards,Sl3,7.2,9.3,24,27
Orchards,Sl2,7.1,4,28,20
Orchards,Sl3,5.2,6.4,29,17
Orchards,Su3,6.6,1.3,11,11
Orchards,Su3,6.9,1.2,21,13
Orchards,Lu,7.1,4.1,111,28
Orchards,Su3,7.1,2.9,30,8
Orchards,Ut3,6.9,4.8,52,9
Orchards,Us,6.9,5.1,20,15
Orchards,Sl3,6.2,5.4,18,27
Orchards,Su3,6.6,6.8,194,36
Orchards,Su3,6.8,2.4,35,13
Orchards,Ut3,7.1,3.6,114,19
Orchards,Ls3,7.1,3.9,123,31
Orchards,Su3,7,2.6,65,30
Orchards,Us,6.5,4.9,18,30
Orchards,Sl3,4.8,6.6,21,36
Orchards,Sl3,6.6,5.6,15,21
Orchards,Us,6.5,3.4,10,36
Orchards,Ls3,6.5,2.2,28,8
Orchards,Ut3,7,7.2,100,15
Orchards,Us,6.9,4.1,105,20
Orchards,Ut3,7.3,3.5,59,12
Orchards,Slu,6.9,2.5,22,18
Orchards,Su3,7,4.5,21,16
Orchards,Sl3,7.1,8,23,18
Orchards,Us,7.1,1.9,25,12
Vineyards,Sl3,6.5,4.2,242,31
Orchards,Sl3,6.8,4.8,79,57
Orchards,Sl3,6.8,10.3,23,56
Orchards,Sl3,6.9,5.4,19,19
Orchards,Sl3,7.2,6.3,14,11
Orchards,Sl3,6.7,5.7,32,24
Orchards,Ls3,7.1,5.6,59,23
Orchards,Us,7.1,5.1,22,10
Orchards,Sl3,6.9,4.8,57,39
Orchards,Ut3,7.1,4.6,39,14
Orchards,Ut3,6.9,6.6,57,31
Orchards,Ut3,6.8,6.1,158,25
Orchards,Us,7.1,2.3,20,8
Orchards,Us,7.1,2.8,59,18
Orchards,Lu,7.1,4.7,46,16
Orchards,Sl2,7.1,3,20,17
Orchards,Sl3,6.2,4.8,88,31
Orchards,Su3,7.1,3.9,12,11
Orchards,Us,6.5,2.5,13,8
Orchards,Slu,6.7,4.7,11,14
Orchards,Ut3,6.8,6.4,139,24
Orchards,Sl3,5.5,6.5,16,23
Orchards,Sl3,6.6,4.5,13,12
Orchards,Sl3,5.7,6.5,11,9
Orchards,Su3,6.8,5.2,11,14
Orchards,Su3,6.7,3,51,23
Orchards,Su3,7,1,9,7
Orchards,Ut3,7.1,7.6,16,12
Orchards,Sl2,5.1,2.9,51,9
Orchards,Slu,6.9,4,13,15
Orchards,Sl3,5.9,5.6,20,25
Orchards,Sl3,6.7,9.3,15,87
Orchards,Sl3,5.7,7.3,11,12
Orchards,Sl3,6.2,5.4,12,17
Orchards,Sl3,5.9,6.7,22,39
Orchards,Su3,6.7,2.4,15,14
Orchards,Us,6.4,1.9,17,5
Orchards,Sl3,6.2,8.6,24,29
Orchards,Sl3,6.1,5,9,7
Orchards,Sl3,5.6,4.7,9,8
Orchards,Sl3,6.7,5.2,12,13
Orchards,Us,5.4,2.2,9,5
Orchards,Us,7,7.1,20,23
Orchards,Sl3,6.3,7.9,6,13
Orchards,Su3,7,3.4,16,13
Orchards,Us,6.8,5.3,14,18
Orchards,Us,6.8,3.6,15,13
Orchards,Us,6.3,3.7,11,9
Orchards,Us,6.3,4.4,12,17
Orchards,Sl3,6.9,5,14,16
Orchards,Us,6.2,2.6,10,3
Orchards,Ut3,7.1,3.6,17,9
Orchards,Us,6.1,3.2,15,5
Orchards,Sl3,6.4,7.9,17,33
Orchards,Sl3,5.7,7.1,8,15
Orchards,Us,7.3,3.2,56,11
Orchards,Sl3,5.8,4.3,6,8
Orchards,Us,7.1,2.9,68,20
Orchards,Us,5.5,3,237,18
Orchards,Ut3,6.9,5.2,77,27
Orchards,Ut3,7.3,3.9,98,23
Orchards,Lu,7.4,3,20,9
Orchards,Us,7.5,2.7,43,12
Vineyards,Ls3,7.2,6.7,295,35
Orchards,Ut3,7.2,9,15,24
Orchards,Su3,7.4,3.4,26,11
Orchards,Slu,7.2,1.5,12,11
Orchards,Su3,7.1,1.1,7,9
Orchards,Ut3,7,3.9,49,17
Orchards,Lu,7.1,2.1,55,17
Orchards,Ut3,7.2,3.7,36,15
Orchards,Us,7.3,3.3,12,4
Orchards,Us,7.5,2.2,53,6
Vineyards,Sl3,6.6,7,408,34
Orchards,Sl3,7.1,3.4,40,27
Vineyards,Sl3,6.9,2.8,68,15
Orchards,Ut3,7.3,2.8,43,12
Orchards,Us,7.2,11,15,21
Orchards,Us,6.5,4,13,14
Orchards,Sl3,6.3,5.7,32,32
Orchards,Us,6.6,3.7,92,33
Orchards,Ut3,7.1,6.5,14,11
Orchards,Sl3,5.8,4.6,11,8
Orchards,Su3,6.9,2.7,27,30
Orchards,Us,7.2,4.8,26,9
Orchards,Su3,7,3.1,26,34
Orchards,Us,7.2,2.8,33,10
Orchards,Su3,6.8,3.5,12,14
Orchards,Sl3,7.1,9.6,35,19
Orchards,Us,7.3,2.2,20,14
Orchards,Slu,7.2,26.6,8,39
Orchards,Us,7.3,3.3,11,9
Orchards,Sl3,5.9,4,15,11
Orchards,Sl3,5.4,7.3,9,11
Orchards,Su3,7.1,2.5,78,26
Orchards,Sl3,6.8,4.6,116,31
Orchards,Su3,7.2,1.5,10,9
Orchards,Sl2,7.2,1.8,27,8
Orchards,Ut3,6.5,14.4,55,39
Orchards,Us,6.4,3.5,9,3
Vineyards,Su3,6.7,2.2,167,11
Orchards,Sl3,6,7.5,15,26
Orchards,Us,7.1,5,15,13
Orchards,Sl2,7,3.1,11,14
Orchards,Sl2,6.6,6,247,30
Orchards,Su3,7.1,4.3,20,13
Orchards,Ls3,7.2,3.5,14,10
Orchards,Ut3,7.2,4.8,24,10
Orchards,Su3,6.4,4.2,137,26
Orchards,Sl2,7.2,3.3,30,16
Orchards,Sl3,6.6,4.8,51,26
Orchards,Su3,7,1.9,43,16
Orchards,Sl2,6,5.8,24,38
Orchards,Sl2,6.8,4.3,15,17
Orchards,Sl2,7.2,3.6,45,18
Orchards,Sl3,6.1,2.9,27,16
Orchards,Sl3,6.5,3.6,20,27
Orchards,Sl2,7.2,2.1,15,8
Orchards,Su3,6.9,3,8,9
Orchards,Su3,6.2,7.2,10,19
Orchards,Ut3,6.8,10.9,154,36
Orchards,Su3,7.3,2.2,16,13
Orchards,Sl2,6.3,2.8,176,19
Orchards,Sl3,6.2,4.7,9,14
Orchards,Sl3,4.8,5.8,8,8
Orchards,Sl3,5.5,5.3,9,4
Orchards,Su3,6.8,3.8,114,32
Orchards,Su3,7.1,3.9,14,10
Orchards,Sl2,7.2,11.1,15,20
Orchards,Su3,7.2,3.2,9,7
Orchards,Us,5.9,3.6,16,15
Orchards,Sl3,6.7,7.4,18,30
Orchards,Su3,6.9,1,8,5
Orchards,Sl2,7.1,1.2,11,6
Orchards,Ut3,7.2,6.7,17,15
Orchards,Sl3,7.1,3.6,31,18
Orchards,Us,7.4,1.6,19,14
Orchards,Sl3,7.2,4.3,70,14
Orchards,Sl3,6.8,5.4,32,23
Orchards,Ls3,7.1,3.1,107,20
Orchards,Ut3,7.3,6.1,10,4
Orchards,Su3,6.9,4.8,74,42
Orchards,Sl3,6.4,4.9,16,15
Orchards,Sl3,6.2,3.8,365,30
Orchards,Sl3,6.6,8.5,13,15
Orchards,Sl3,6.2,6,20,26
Orchards,Sl3,6.2,6.4,9,7
Orchards,Sl3,5.7,5.3,12,16
Orchards,Sl3,5.6,5.3,10,11
Orchards,Us,5.7,3.7,15,20
Orchards,Sl2,6.9,9.9,11,12
Orchards,Ut3,7.1,4.3,80,16
Orchards,Su3,6.4,3.9,8,7
Orchards,Sl2,7.1,3.7,11,12
Orchards,Su3,7.2,2.4,88,12
Orchards,Sl3,5,7.1,26,14
Orchards,Us,6.7,5.1,25,11
Orchards,Su3,5.6,3,16,13
Orchards,Sl3,6.4,4,18,17
Orchards,Sl3,5.7,4.9,14,13
Vineyards,Ls3,6.9,3.8,454,41
Vineyards,Sl2,5.5,5.4,315,32
Orchards,Sl3,6.7,5.7,29,27
